灵梦,普通,NULL,NULL,障壁强化,阴之气力,幻觉弹,金属针,森罗结界,降神,追踪弹
灵梦,防御,NULL,NULL,铁壁之势,NULL,回旋幻想,应急处理,破邪之箭,NULL,精确瞄准,梦幻泡影,超越神技,NULL
灵梦,力量,NULL,NULL,大暴雨,NULL,生命爆发,幻影之刃,NULL,八幡神加护,冷静与热情的狭间,古喰,舍命式,NULL
魔理沙,普通,NULL,NULL,阴之气力,阳之气力,能量闪电,原初之光,闪光弹,坏月亮,星火术
魔理沙,速度,NULL,NULL,NULL,NULL,先读,盗电充电,雷霆之力,疾风迅雷,NULL,雷帝之怒,脉冲激光,NULL
魔理沙,力量,NULL,NULL,NULL,NULL,鲨鱼交易,恐慌呼叫,超限激光,疾风迅雷,NULL,黑暗天球,光通量,NULL
神玉,普通,NULL,NULL,阴之气力,阳之气力,扩散光束,禁足,追踪弹,铝热剂,四神加护
神玉,辅助,NULL,NULL,地相显现「白虎」,NULL,激励,灵力之恩惠,地相显现「朱雀」,三效合一,NULL,弹幕乱舞,人形的怨返,NULL
神玉,防御,NULL,NULL,地相显现「玄武」,NULL,鼓舞,灵力之恩惠,地相显现「青龙」,归燕,NULL,灵魂冲刺,全心全意,NULL
幽玄魔眼,普通,NULL,NULL,感染,阳之气力,NULL,血腥风暴,正后方是谁,卡戎饰符,污浊之牙
幽玄魔眼,辅助,NULL,NULL,NULL,NULL,逆境根性,气象显现「浓雾」,灵力之恩惠,NULL,拉普拉斯之眼,隐形陷阱,人形的怨返,NULL
幽玄魔眼,力量,NULL,NULL,NULL,NULL,逆境根性,刺耳尖叫,灵力之恩惠,NULL,渐弱音,饥渴之魂,毒性炸弹,NULL
伊莉丝,普通,NULL,NULL,深夜,阴之气力,阴影球,火花射击,暗影步,甜美噩梦,暗影箭
伊莉丝,速度,NULL,NULL,NULL,NULL,闪电之枪,鲨鱼交易,交换圈,NULL,雷切,破灭之声,暗夜传染,NULL
伊莉丝,力量,NULL,NULL,NULL,NULL,毒箭,鲨鱼交易,交换圈,NULL,奈落之花,剧毒新星,暗夜传染,NULL
萨丽艾尔,普通,NULL,NULL,深夜,阴之气力,阴影球,天使的阶梯,复仇,闪光弹,失落危机
萨丽艾尔,力量,NULL,NULL,NULL,NULL,关灯,NULL,月虹,三魂七魄离散,暗黑甜点,暗夜传染,死者的呼声,NULL
萨丽艾尔,防御,NULL,NULL,NULL,NULL,关灯,天光之舞,破邪之箭,日全食,NULL,黑暗天球,光通量,NULL
魅魔,普通,NULL,NULL,沉积岩,阳之气力,捉鬼迷藏,原初之光,负之嘲笑,血腥风暴,噬魂
魅魔,防御,NULL,NULL,NULL,NULL,鬼魂波动,诅咒返还,潜行之茜,无限之暗,NULL,骚灵现象,死神之舞,NULL
魅魔,力量,NULL,NULL,NULL,NULL,灵魂猎手,诅咒返还,超限激光,NULL,破灭之声,光通量,亡灵午夜,NULL
菊理,普通,NULL,NULL,障壁强化,阴之气力,镜面世界,坏月亮,气象显现「极光」,日全食,水鏡
菊理,防御,NULL,NULL,NULL,NULL,圣艾尔摩之火,月亮加护,反射镜,灵力之恩惠,NULL,回旋幻想,全心全意,NULL
菊理,力量,NULL,NULL,NULL,NULL,重力炮,月亮加护,反射镜,灵力之恩惠,NULL,月虹,大灾变,NULL
矜羯罗,普通,NULL,NULL,专心致志,阴之气力,开膛手,正拳突击,集中之势,虎奔,十字斩
矜羯罗,力量,NULL,NULL,NULL,NULL,强袭射击,拔刀斩,舞蹈之剑,交换圈,奋斗之势,NULL,菊水,NULL
矜羯罗,速度,NULL,NULL,NULL,NULL,升阳,拔刀斩,破甲,交换圈,NULL,烈火,菊水,NULL
里香,普通,NULL,NULL,节俭精神,阳之气力,飞锤,玩火,地雷陷阱,应急处理,电击
里香,速度,NULL,NULL,NULL,NULL,闪燃,摇动齿轮,火花十字,NULL,回燃,逆境根性,侵攻转化,NULL
里香,力量,NULL,NULL,NULL,NULL,盗电充电,摇动齿轮,急袭,雷霆之力,NULL,逆境根性,弹幕乱舞,NULL
明罗,普通,NULL,NULL,专心致志,阴之气力,拔刀斩,复仇,集中之势,无知之暗,驱霞
明罗,力量,NULL,NULL,NULL,NULL,破甲,皇家棱镜,舞蹈之剑,黑暗天球,威风堂堂,NULL,菊水,NULL
明罗,速度,NULL,NULL,两手准备,NULL,十字斩,铁壁之势,黑暗天球,猛进之势,幻影之刃,NULL,菊水,NULL
爱莲,普通,NULL,NULL,阳炎,阳之气力,磷火,坏月亮,海市蜃楼,甜美噩梦,三效合一
爱莲,力量,NULL,NULL,NULL,NULL,不可思议的波动,无限之暗,NULL,交叉互换,火花十字,大灾变,酒宴狂欢,NULL
爱莲,速度,NULL,NULL,NULL,NULL,雷云之瞳,雷霆帷幕,幻惑大流行,雷霆之力,NULL,迷雾,大灾变,NULL
小兔姬,普通,NULL,NULL,防壁强化,阳之气力,齐射,金属针,炎蛇之舞,毁灭,下步
小兔姬,辅助,NULL,NULL,NULL,NULL,地相显现「青龙」,电击,森林浴,失忆,隐形陷阱,NULL,天罚一击,NULL
小兔姬,防御,NULL,NULL,两手准备,NULL,应急处理,电击,无限之暗,失忆,攻击均分,NULL,炎龙之舞,NULL
卡娜,普通,NULL,NULL,沉积岩,阴之气力,鬼计,正后方是谁,氛围音乐,节奏还原,灵魂猎手
卡娜,辅助,NULL,NULL,哀嚎,NULL,幽灵合奏,刺耳尖叫,无限之暗,三魂七魄离散,鼓舞,NULL,爆音全发射,NULL
卡娜,力量,NULL,NULL,NULL,NULL,圣艾尔摩之火,刺耳尖叫,高频崩毁,潜行之茜,梦幻泡影,NULL,亡灵午夜,NULL
理香子,普通,NULL,NULL,防壁强化,阳之气力,雷击,电波闪焰,扩散光束,反射镜,三效合一
理香子,力量,NULL,NULL,NULL,NULL,铬激光,紫电,隐形陷阱,NULL,银色之雨,脉冲激光,雷帝之怒,NULL
理香子,速度,NULL,NULL,NULL,NULL,铬激光,冰狱,地雷陷阱,抱怨,银色之雨,NULL,水压加农,NULL
千百合,普通,NULL,NULL,雷鸣,阴之气力,火花射击,水球,强力磁场,寒冰机枪,球状闪电
千百合,防御,NULL,NULL,NULL,NULL,反向飞身压,失忆,大暴雨,隐形陷阱,交叉俯冲,NULL,雷神之锤,NULL
千百合,速度,NULL,NULL,NULL,NULL,原子能,水刀,NULL,大地解放,临战,雷神之锤,光通量,NULL
梦美,普通,NULL,NULL,聚集之星,阴之气力,漫反射激光,软泥喷射,闪光弹,屏障设置,原子能
梦美,力量,NULL,NULL,NULL,NULL,星火术,NULL,冰狱,相位反转,重力炮,脉冲激光,水压加农,NULL
梦美,速度,NULL,NULL,NULL,NULL,盗电充电,回燃,疾风迅雷,相位反转,雷霆之力,NULL,火燕舞踏,NULL
咪咪号＆留琴,普通,NULL,NULL,摩擦热,阴之气力,飞锤,急袭,电波闪焰,球状闪电,逆境根性
咪咪号＆留琴,辅助,NULL,NULL,NULL,NULL,灵魂冲刺,隐形陷阱,震击刻印,地相显现「玄武」,NULL,铁块冲撞,全心全意,NULL
咪咪号＆留琴,力量,NULL,NULL,NULL,NULL,升阳,灵魂冲刺,集中之势,NULL,炼狱炎舞,铁块冲撞,全心全意,NULL
奥莲姬,普通,NULL,NULL,障壁强化,阳之气力,扩散光束,迷彩,紫电,应急处理,三效合一
奥莲姬,防御,NULL,NULL,森林浴,NULL,电击,隐形陷阱,雷云之瞳,海市蜃楼,NULL,合气之极意,不稳定的地平线,NULL
奥莲姬,力量,NULL,NULL,NULL,NULL,灵气汲取,逆境一击,底力,灵魂冲刺,NULL,交叉俯冲,爆音全发射,NULL
胡桃,普通,NULL,NULL,深夜,阳之气力,坏月亮,毒性陷阱,猛毒瓦斯,风之波动,拉普拉斯之眼
胡桃,力量,NULL,NULL,NULL,NULL,火之波动,鼓舞,戈尔贡之瞳,NULL,排山倒海,暗黑甜点,太刀风,NULL
胡桃,辅助,NULL,NULL,NULL,NULL,负之雾,鼓舞,懒散迷雾,污浊之牙,NULL,暗黑甜点,地相显现「朱雀」,NULL
艾丽,普通,NULL,NULL,专心致志,阴之气力,开膛手,寒冷秋风,拔刀斩,虎视眈眈,归还之刃
艾丽,力量,NULL,NULL,NULL,NULL,龙卷风,NULL,奋斗之势,风炎焚风,一闪,两手准备,猛进之势,NULL
艾丽,防御,NULL,NULL,精确瞄准,NULL,石钉,NULL,奋斗之势,流星吐息,一闪,无我之境,震天动地,NULL
幽香,普通,NULL,NULL,防壁强化,阴之气力,火花射击,苹果炸弹,负之嘲笑,逆境一击,玻璃标枪
幽香,力量,NULL,NULL,NULL,NULL,闪电之枪,喝倒彩,强力汲取,地走舞,NULL,雷神之锤,光通量,NULL
幽香,防御,NULL,NULL,天变地异,NULL,尘旋之门,喝倒彩,强力汲取,螺旋岩,灵力之恩惠,NULL,桃弧棘矢,NULL
梦月,普通,NULL,NULL,阳炎,阳之气力,磷火,坏月亮,海市蜃楼,假想朋友,无限之暗
梦月,力量,NULL,NULL,NULL,NULL,未知的闪焰,正直者的大谎言,无限音阶,暗黑甜点,月亮加护,NULL,大灾变,NULL
梦月,辅助,NULL,NULL,地相显现「玄武」,NULL,三效合一,禁足,灵力之恩惠,未知的闪焰,月亮加护,NULL,白百合之舞,NULL
幻月,普通,NULL,NULL,阳炎,阴之气力,幻觉弹,点灯,复仇,抱怨,天使的阶梯
幻月,力量,NULL,NULL,NULL,NULL,追伐,燃烧强袭,欢快节奏,NULL,潜行,幻影之刃,光通量,NULL
幻月,速度,NULL,NULL,NULL,NULL,未知的闪焰,NULL,灵魂冲刺,烈火,弹幕乱舞,梦幻泡影,巨暴流,NULL
萨拉,普通,NULL,NULL,防壁强化,阴之气力,泥团子,急袭,忍耐,火柱,石钉
萨拉,防御,NULL,NULL,NULL,NULL,地雷陷阱,应急处理,生命爆发,铁壁之势,流星吐息,NULL,天变地异,NULL
萨拉,速度,NULL,NULL,NULL,NULL,灵石乱舞,火焰标枪,杀戮之咬,集中之势,螺旋岩,NULL,奋斗之势,NULL
露易兹,普通,NULL,NULL,防壁强化,阳之气力,夜间大风,齐射,顺风,漫反射激光,春一番
露易兹,力量,NULL,NULL,NULL,NULL,舞风,电波闪焰,风之波动,三效合一,NULL,震荡,栖木,NULL
露易兹,辅助,NULL,NULL,NULL,NULL,大龙卷,失忆,喜悦之舞,神速空袭,NULL,铝热剂,栖木,NULL
爱丽丝,普通,NULL,NULL,防壁强化,阳之气力,漫反射激光,金属针,屏障设置,禁足,毁灭
爱丽丝,力量,NULL,NULL,NULL,NULL,星火术,反射镜,月亮加护,NULL,铬激光,未知的闪焰,弧光,NULL
爱丽丝,防御,NULL,NULL,地相显现「玄武」,NULL,应急处理,反射镜,回旋幻想,NULL,铬激光,铁壁之势,幻惑大流行,NULL
雪,普通,NULL,NULL,摩擦热,阳之气力,玩火,铝热剂,齐射,漫反射激光,火墙
雪,速度,NULL,NULL,NULL,NULL,狐火,火之波动,韦驮天,星火术,鼓舞,NULL,火山,NULL
雪,力量,NULL,NULL,NULL,NULL,狐火,软泥喷射,太刀风,NULL,鼓舞,冰河时代,火山,NULL
